wavelength,flux
4987.7039,109866.3
4988.3459,109867.4
4988.9879,109868.5
4989.6298,109931.2
4990.2718,109591.4
4990.9138,108361.4
4991.5557,107977.1
4992.1977,108093.0
4992.8396,107151.7
4993.4816,106345.8
4994.1236,107064.5
4994.7655,108280.3
4995.4075,109084.3
4996.0494,109577.7
4996.6914,109575.5
4997.3334,110594.7
4997.9753,111607.9
4998.6173,111834.4
4999.2592,110907.6
4999.9012,109850.8
5000.5432,109239.8
5001.1851,108300.3
5001.8271,106661.8
5002.4691,105405.5
5003.111,105774.1
5003.753,107585.8
5004.3949,107657.5
5005.0369,107556.3
5005.6789,107480.0
5006.3208,106625.7
5006.9628,106215.8
5007.6047,103892.6
5008.2467,103187.3
5008.8887,102286.0
5009.5306,104227.3
5010.1726,108194.5
5010.8145,110005.7
5011.4565,110877.6
5012.0985,111262.9
5012.7404,110283.8
5013.3824,108574.2
5014.0243,106582.0
5014.6663,104542.8
5015.3083,103698.6
5015.9502,104243.5
5016.5922,104639.1
5017.2342,104994.5
5017.8761,105568.9
5018.5181,107538.0
5019.16,109084.4
5019.802,108644.3
5020.444,109405.0
5021.0859,108963.7
5021.7279,109512.2
5022.3698,111378.9
5023.0118,110652.2
5023.6538,110052.2
5024.2957,109824.0
5024.9377,109374.3
5025.5796,109761.7
5026.2216,110808.8
5026.8636,112305.7
5027.5055,112617.3
5028.1475,112491.8
5028.7895,112518.3
5029.4314,111909.7
5030.0734,111766.5
5030.7153,113131.4
5031.3573,114199.4
5031.9993,115588.4
5032.6412,117408.4
5033.2832,116350.5
5033.9251,117519.5
5034.5671,116645.8
5035.2091,114913.4
5035.851,115975.2
5036.493,113404.5
5037.1349,112449.6
5037.7769,111398.9
5038.4189,110016.1
5039.0608,109735.4
5039.7028,110863.2
5040.3447,110298.0
5040.9867,107917.8
5041.6287,105655.9
5042.2706,104504.0
5042.9126,104253.9
5043.5546,104994.4
5044.1965,107188.6
5044.8385,109964.9
5045.4804,113682.9
5046.1224,115919.9
5046.7644,117256.8
5047.4063,118500.0
5048.0483,118200.6
5048.6902,117990.5
5049.3322,116962.0
5049.9742,115903.4
5050.6161,113666.3
5051.2581,112489.4
5051.9,111065.6
5052.542,111576.3
5053.184,113379.4
5053.8259,115228.6
5054.4679,115973.9
5055.1098,117431.3
5055.7518,119124.4
5056.3938,119586.5
5057.0357,119351.3
5057.6777,119407.5
5058.3197,119667.6
5058.9616,119425.9
5059.6036,120525.0
5060.2455,121734.6
5060.8875,121766.0
5061.5295,121560.4
5062.1714,121125.3
5062.8134,121553.5
5063.4553,120514.1
5064.0973,118931.9
5064.7393,117867.0
5065.3812,117376.8
5066.0232,117453.2
5066.6651,115958.7
5067.3071,113615.0
5067.9491,114827.5
5068.591,116274.5
5069.233,117746.6
5069.875,118158.9
5070.5169,117455.6
5071.1589,117098.4
5071.8008,117225.7
5072.4428,118412.9
5073.0848,119760.1
5073.7267,119882.4
5074.3687,119643.0
5075.0106,118763.9
5075.6526,118305.4
5076.2946,119606.8
5076.9365,120359.1
5077.5785,120028.4
5078.2204,118330.0
5078.8624,117616.2
5079.5044,115779.8
5080.1463,116098.0
5080.7883,113986.3
5081.4302,112492.7
5082.0722,111027.5
5082.7142,111411.5
5083.3561,113523.3
5083.9981,115044.1
5084.6401,116424.3
5085.282,117911.0
5085.924,118882.1
5086.5659,120199.1
5087.2079,121990.5
5087.8499,123515.5
5088.4918,124639.1
5089.1338,124810.0
5089.7757,124262.4
5090.4177,123896.7
5091.0597,123938.6
5091.7016,124320.9
5092.3436,123439.7
5092.9855,124599.9
5093.6275,124288.3
5094.2695,124922.0
5094.9114,125848.0
5095.5534,125602.5
5096.1954,125254.8
5096.8373,124963.3
5097.4793,123486.4
5098.1212,121885.9
5098.7632,120449.3
5099.4052,119753.8
5100.0471,119576.8
5100.6891,118833.4
5101.331,118772.5
5101.973,119619.2
5102.615,121700.9
5103.2569,123132.8
5103.8989,124552.8
5104.5408,125134.3
5105.1828,124337.5
5105.8248,124490.0
5106.4667,123506.3
5107.1087,122336.2
5107.7506,121026.8
5108.3926,120006.1
5109.0346,119011.1
5109.6765,118288.5
5110.3185,117722.2
5110.9605,119035.1
5111.6024,120459.6
5112.2444,121183.5
5112.8863,122188.3
5113.5283,124077.5
5114.1703,125725.4
5114.8122,126496.0
5115.4542,127294.0
5116.0961,128161.6
5116.7381,128562.8
5117.3801,128794.6
5118.022,129168.0
5118.664,128257.4
5119.3059,129730.9
5119.9479,129547.0
5120.5899,129515.1
5121.2318,129368.9
5121.8738,127543.8
5122.5158,127337.4
5123.1577,125923.9
5123.7997,124817.7
5124.4416,123663.3
5125.0836,123663.0
5125.7256,122274.1
5126.3675,121912.9
5127.0095,121923.1
5127.6514,122427.3
5128.2934,123163.0
5128.9354,123412.6
5129.5773,123627.4
5130.2193,123849.1
5130.8612,124573.3
5131.5032,125738.0
5132.1452,125793.9
5132.7871,125260.8
5133.4291,122320.0
5134.071,126964.1
5134.713,127810.3
5135.355,126873.7
5135.9969,126977.2
5136.6389,126199.5
5137.2809,127369.8
5137.9228,127216.7
5138.5648,125678.4
5139.2067,123296.0
5139.8487,122737.6
5140.4907,120860.4
5141.1326,120773.8
5141.7746,120629.7
5142.4165,121091.6
5143.0585,122973.3
5143.7005,124361.3
5144.3424,124132.2
5144.9844,123556.4
5145.6263,124578.3
5146.2683,125321.4
5146.9103,127707.3
5147.5522,128371.9
5148.1942,127697.3
5148.8361,126383.5
5149.4781,126795.2
5150.1201,127508.3
5150.762,127295.1
5151.404,126579.9
5152.046,126279.2
5152.6879,125691.3
5153.3299,124876.0
5153.9718,125230.7
5154.6138,125322.1
5155.2558,125620.2
5155.8977,127514.0
5156.5397,129795.5
5157.1816,131394.2
5157.8236,132548.9
5158.4656,134186.7
5159.1075,135532.3
5159.7495,136075.8
5160.3914,136211.4
5161.0334,135719.2
5161.6754,134503.3
5162.3173,133509.3
5162.9593,134054.9
5163.6013,133793.6
5164.2432,134251.8
5164.8852,131357.5
5165.5271,127883.0
5166.1691,125560.2
5166.8111,121684.6
5167.453,116444.6
5168.095,111599.6
5168.7369,106224.0
5169.3789,103851.8
5170.0209,103457.3
5170.6628,105406.3
5171.3048,108103.1
5171.9467,109599.1
5172.5887,109000.1
5173.2307,107058.6
5173.8726,104542.4
5174.5146,102961.0
5175.1565,104232.8
5175.7985,109224.8
5176.4405,117795.0
5177.0824,126071.2
5177.7244,130312.5
5178.3664,131421.4
5179.0083,133512.8
5179.6503,132188.8
5180.2922,131686.3
5180.9342,129935.9
5181.5762,127179.8
5182.2181,122720.6
5182.8601,118220.9
5183.502,113608.5
5184.144,108942.2
5184.786,105322.9
5185.4279,103600.9
5186.0699,105529.9
5186.7118,110545.8
5187.3538,118452.3
5187.9958,126748.3
5188.6377,132145.7
5189.2797,135029.6
5189.9217,135547.6
5190.5636,134289.5
5191.2056,133669.5
5191.8475,132630.6
5192.4895,132549.1
5193.1315,130587.1
5193.7734,128977.9
5194.4154,127349.4
5195.0573,128442.6
5195.6993,131462.7
5196.3413,133411.1
5196.9832,136070.5
5197.6252,136937.7
5198.2671,137311.0
5198.9091,139077.6
5199.5511,140928.4
5200.193,140772.2
5200.835,141102.0
5201.4769,141287.7
5202.1189,141519.8
5202.7609,140872.4
5203.4028,139436.3
5204.0448,137454.6
5204.6868,134668.6
5205.3287,131233.0
5205.9707,128760.5
5206.6126,127383.1
5207.2546,124808.6
5207.8966,123113.6
5208.5385,123960.0
5209.1805,125676.5
5209.8224,125966.8
5210.4644,127815.7
5211.1064,127859.2
5211.7483,132016.6
5212.3903,137865.0
5213.0322,141516.8
5213.6742,145916.3
5214.3162,147796.8
5214.9581,149325.2
5215.6001,148949.2
5216.2421,146655.4
5216.884,144812.2
5217.526,143819.2
5218.1679,143034.2
5218.8099,143364.9
5219.4519,145506.2
5220.0938,147891.4
5220.7358,150253.6
5221.3777,152501.5
5222.0197,153685.8
5222.6617,154218.3
5223.3036,153936.0
5223.9456,154077.7
5224.5875,152717.0
5225.2295,149794.3
5225.8715,145540.5
5226.5134,141874.5
5227.1554,139121.4
5227.7973,135698.4
5228.4393,133976.7
